Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
молоко 1.5% безлактозное Простоквашино,44,3,2,5
Сок мультифрукт с 3-х лет Сады Придонья,46,0,0,12
Бедро куриное,183,11,16,0.1
Голубцы с говядиной,121,7,6,8
Мороженое пломбир ванильный в стаканчике Коровка из кореновки,205,3,14,17
Гречка с тушенкой,196,7,13,29
Какао порошок 99.98% Коммунарка,340,25,14,30
пюре фруктовое яблоко-банан-печенье Агуша,60,1,1,14
Гейнер на молоке,460,22,2,78
Сыр Эдам твердый 45%,339,26,26,0
Печенье Весенняя рапсодия Спартак,490,6,24,62
Конфеты аэрофлотские глазированные Спартак,540,4,33,59
Шампанское полусухое,68,0,0,4
Капуста морская маринованная Классическая Русское море,35,0.8,0.5,6
Хлеб тостерный европейский,260,7,2,51
хлеб Ароматный с солодом и кориандром Коломенский,260,8,2,52
Батончик протеиновый лимонный Гербалайф Herbalife,400,29,40,15
Шоколад горький 55% какао десертный с начинкой Столичный Элит Коммунарка,470,4,24,59
Яблоко Антоновка,45,0.3,0,10
Шоколад черный с подсоленным миндалем Roshen Рошен,501,7,29,49
Карпаччо из курицы,99,18,3,0
масло подсолнечное ароматное нерафинированное первый отжим Слобода,898,0,100,0
Мороженое пломбир с ароматом ванили в жировой какаосодержащей глазури эскимо 28 копеек,313,3,24,20
Яичница с сыром,258,15,21,0.9
Творожок 3.5% клубника Савушкин,111,7,4,13
Самса с картошкой,250,10,12,26
Лепешки оригинальные Mission,290,7,7,48
Батон Горчичный Криворожский хлебозавод №1,269,7,5,48
соевое молоко Soya Original Alpro,39,3,2,2
Картофель печёный с оливковым маслом,130,2,7,15
Тефтели свиные в томате,163,11,7,11
Миндальное молоко Almond Unsweetened Alpro,13,0.4,1,0
Протеиновый батончик с кокосом Proteline,370,12,7,70
Какао порошок,357,24,10,28
Сирок 60% плавленый пастообразный Янтарь Наш сирок,308,7,28,8
Драники с мясом,188,5,15,13
макороны с филе,157,11,9,7
булочка с заварным кремом,319,6,13,50
Помидоры запеченные,27,2,0.84,3
Пирожок с рисом и яйцом,250,11,8,35
Сыр тильзитер 45% Брест-Литовск,335,26,26,0
Макароны с куриным фаршем,137,10,6,9
Куриная ножка кфс KFC,239,21,13,10
Сметана 15% Президент President,158,3,15,3
Хлебцы ФитнесЛайн Железо плюс Хлебцы Молодцы,290,10,2,57
Творог классический 1% Савушкин,86,18,1,1
Манты со свининой,241,12,11,25
Сливки порционные 10% Альпенгурт,118,3,10,4
Варёный горох на воде,60,6,0,9
Биг Тейсти Макдоналдс,238,12,14,14
Хлеб серый без дрожжевой,211,7,1,43
Картофель тушеный со свининой,143,7,10,9
Шоколад молочный с цельным фундуком Milka,561,8,36,50
Сырок глазированный со вкусом шоколада Чудо,397,8,26,34
Чахохбили из курицы,111,7,8,4
Баранина отварная,244,21,16,0
Ленивый пп хачапури,190,13,11,14
Завтрак сухой с витаминами и минеральными веществами Mix Nesquik Nestlé,385,8,4,75
фасоль белая консервированная Bonduelle,66,7,0.4,6
запеканка творожная с яблоками,100,6,7,5
Коктейль Гербалайф Шоколадный,376,35,10,33
Молоко 2.5% безлактозной ультрапастеризованное На здоровье,52,3,2,5
Напиток безалкогольный сильногазированный со вкусом лимона и яблока Лимонад Оболонь,32,0,0,8
пюре с котлетой,138,4,8,14
Бутерброд с шоколадной пастой,397,7,17,54
Рис белый длиннозерный,355,7,0.66,80
салат сельдь под шубой Русский аппетит,191,5,16,8
Салат из свежих овощей весенне-летний,54,1,4,4
Белковый коктейль Whey Protein порошковая смесь протеин Ёбатон клубничный,316,60,3,13
чай ромашковый Гринфилд,0,0,0,0
Ветчина По-черкизовски Черкизово,236,11,20,3
Мини сушки с маком Невская сушка,416,11,6,77
Запеченная рыба карась,92,17,2,0.2
кабачок тушеный с курицей,81,10,3,3
"Бургер классик ""КФС"" KFC",345,17,14,38
Шоколад чернично-йогуртовая начинка Alpen Gold,556,4,33,59
Жареная вермишель,140,3,8,14
ленивый голубец с курицей,84,9,3,6
Слойка,350,8,13,51
Хлеб ржаной цельнозерновой с семечками подсолнечника,234,8,5,45
Печеночная колбаса,254,12,22,2
Борщ с индейкой,60,4,2,7
Шоколад темный Люкс Бабаевский,552,6,35,51
Мед гречишный Медовый край,297,0.8,0,71
Печенье витаминизированное мёд и фундук Утреннее Belvita,460,8,16,69
Лепёшка Mission Deli,290,7,7,48
Сидр 4.7% сладкий Яблуко Somersby,50,0,0,6
булка с корицей,294,7,9,45
капуста цветная тушёная,62,1,1,10
ириска Золотой ключик,395,3,8,82
"Нагетсы ""магнит""",329,21,16,24
Овощная мексиканская смесь Мираторг,85,4,1,15
пирожки с картошкой в духовке,170,4,4,30
кокосовое молоко Green Milk,55,0.3,2,10
рис белый крупа,344,7,0.7,78
котлета куринная отварная,110,16,4,2
роллини с брынзой и шпинатом,153,6,4,24
Индейка,197,22,12,0.8
Молоко домашнее «Витаель».,69,3,4,5
Салат свекольный!,60,2,3,8
Картошка с майонезом в духовке,186,9,14,5
Жареная грудка индейки,126,30,0.7,0
Салат из помидор. огурца и сыра фета»,42,2,2,4
капуста цветная жареная,220,5,13,4
Говядина отварная,254,26,17,0
цукини,21,3,0.4,2
Оладьи дрожжевые,224,6,5,40
Масло сливочное 72.5% Вкуснотеево,662,1,72,1
Курица жареная без масла,92,17,3,0
сушки простые Красная цена,360,10,4,70
Сердечки куриные в сметане,170,14,12,1
Салат пекинская капуста. огурец. кукуруза,102,2,7,8
чизкейк,239,6,10,31
Сыр плавленный тостовый Toast Lactima,250,19,17,6
Йогурт десертный 5% с наполнителем со вкусом ванили Машенька,128,3,5,20
пицца пеперони сбаро,258,11,15,20
капуста тушеная с фаршем,104,2,5,7
хлопья 5 злаков Увелка,361,11,2,75
Крекеры с кунжутом и семенами льна Зерница,460,10,22,55
Печенье с молоком и кальцием Мария Yarych,415,8,11,69
Творог зернёный домашний 4% Карат,100,14,4,2
компот из сушенных яблок без сахара,10,0.12,0,3
протеин Whey Myprotein,412,82,8,4
Суп лапша куриный без картошки,29,2,0.6,3
Омлет с помидорами. луком и перцем,68,8,2,5
Хлебцы столовые ОГО,315,11,2,64
Карамель Чупа Чупс мини Chupa Chups Mini Pusheen,380,0,0,95
Ребрышки свинные,321,29,29,0
Запеченное яблоко с медом,69,0.5,0.8,16
Печенье с овсяными хлопьями 'Юбилейное',460,8,19,65
кабачковый торт со сметаной,96,3,4,12
Сосиски сливушки Вязанка,190,12,16,0
Хлеб бездрожжевой Ржаной на закваске Грiдневъ,182,4,1,38
Печенье шоколадное,489,6,25,64
Сыр плавленный пастообразный сливочный Hohland,300,10,27,5
Компот из яблок,53,0.11,0.04,14
йогурт питьевой immuno shot вишня-женьшень Exponenta,60,12,0,2
Мороженое Пломбир с шоколадной крошкой Коровка из Кореновки,260,4,17,23
Зразы картофельные,145,17,8,2
Каша пшенная на молоке 2.5%,127,4,2,18
Творог козий домашний,156,17,9,1
Молоко цельное сгущенное с сахаром 8.5% Первомайский МКК,338,7,8,58
хлебец Бородинский новый 1 Первый хлебокомбинат,230,6,0,46
Кисель растворимый,44,0,0,11
сосиски баварские с сыром Владимирский стандарт,218,11,18,3
самса,345,13,20,28
конфеты Красный мак Красный октябрь,511,6,26,61
Сыр твердый Голландия 45% Комо,342,26,26,0.5
Гуляш,94,8,6,1
хлеб ржаной с семечками Маг Минскхлебпром,300,11,8,46
Капучино Ирландский виски,105,5,5,7
сыр Маасдам,345,25,27,1
Незбиране згущене молоко Щебппк,339,7,8,58
бутерброд с творожным сыром. помидором. авокадо,139,5,6,17
мороженое щербет Филевское,120,3,1,23
"Шоколадный батончик ""Snickers""",500,8,26,58
Шпикачки,337,10,33,0
Батончик мюсли клубника миндаль Strambery&almonds Bombbar,376,8,21,29
салат овощной с курицей,64,5,4,3
чипсы со вкусом сметаны и укропа Русская Картошка,500,4,30,55
рыба сазан жареная,119,15,5,4
Горчица американская неострая Торчин,155,4,5,21
Энергетический напиток Energy Drink Pit Bull,44,0,0,10
Сельдь филе,168,24,8,0
подлива куриная с томатом,98,10,6,3
чипсы картофельные со вкусом курицы Mega Chips Мега Чипсы,510,7,30,53
котлеты запеченые куриные,140,18,6,6
Молоко 1.5% Моя цена,45,3,2,5
Рахат-лукум с арахисом,410,3,5,85
Кофе растворимый 3 в 1 Classic Nescafe,434,1,12,78
Хлебцы хрустящие кукурузные Ого!,360,9,2,75
Макароны спагетти Шебекинские,350,13,2,72
Грудинка свиная соленая,518,10,54,0
Паста с курицей и грибами в сливочном соусе,197,13,8,18
Напиток безалкогольный сильногазированный со вкусом лимона и апельсина Оболонська,10,0,0,2
Яйцо запеченное,141,12,10,0.7
Пончик со сгущеным молоком,320,8,14,40
Курица маринованная на гриле,170,16,10,0
жевательные конфеты Мамба Mamba,388,0.1,5,84
Шоколадные конфеты Пустыня Каракум Житомирские ласощи,540,4,28,65
Пиво 4.6% светлое пастеризованное Lemon Seth&Riley's Garage,55,0,0,7
брусника,55,0.44,0.54,12
Молоко цельное сгущенное с сахаром 8.5% Ічня,339,7,8,58
Суп рыбный,40,3,0.8,5
Батончик молочный шоколад с лесными орехами Golden Nut Миллениум Millennium,568,10,38,47
Пиво светлое пастеризованное Zatecky Gus Жатецкий Гусь,41,0,0,3
Печенье Choco шоколадный вкус Oreo Орео,468,6,20,66
Хлеб цельнозерновой на закваске,213,7,2,40
свинина жирная отварная,375,23,32,0
рыбные палочки в панировке Classic Vici,204,11,9,19
Гематоген Бегемотик Бонди,380,7,3,84
нагенсы,238,13,13,15
бринза 'болгарська',188,20,12,0
Яблоко Симиренко,49,0.4,0.4,9
чудо пудинг шоколад,106,3,3,17
Зеленый горошек консервированный 6 Соток,35,3,0,6
Соус сладкий Чили Heinz Хайнс,172,0.3,0.1,42
макароны из твердых сортов пшеницы Улитки Makfa Макфа,342,12,1,70
Протеиновое пирожное брауни Brownie классическое Protein Rex,360,12,26,7
Вафли Коровка топленое молоко Рот Фронт,530,8,30,58
Куриный бульон с макаронами,76,4,1,12
сыр мягкий Фетакса в рассоле 45% Hochland,201,11,16,2
колбаски гриль куриные,205,22,13,2
семена тыквы очищенные Семушка,596,29,47,13
Конфета шоколадная Коркунов,556,7,36,50
Напиток кофейный растворимый латте соленая карамель Iced Latte Salted Caramel Jacobs,390,14,7,61
Йогурт Греческий 4% Lactica,76,8,4,2
Бастурма (говядина),194,28,9,0
Рис жареный,193,8,8,28
Конфета шоколадная 'Соната' КФ 'Победа',497,4,24,65
Тушёный говяжий фарш,144,9,11,2
Хлебцы экструзионные ржаные с чесноком Полоцкие,323,9,2,67
куриное филе гриль,153,29,3,0.89
красный чай,37,0.4,0.7,7
шоколад молочный с кремовой начинкой и кусочками печенья Орео Милка Milka,402,5,33,21
Сыр твердый Гауда Swiatowid,344,26,27,0
зеленый чай с саусепом,0,0,0,0
голень курицы запеченная без кожи,172,30,6,0.1
Хлебцы с гречневой крупой Магнит,350,11,2,72
Хлебец dr. Korner овсяно-пшеничный с семенами,340,11,6,60
сыр пармезан Гранд Поставы городок,329,25,26,0
Льняное масло нерафинированное Ароматы жизни,898,0,100,0
куриный паштет,100,13,6,3
Пельмени Потешки мясные подушечки Брестский мясокомбинат,241,10,11,26
Хлопья кукурузные глазированные Витьба,320,6,1,65
брюссельская капуста,54,4,0.4,6
Сырок глазированный с варенкой 15% Ростагроэкспорт,361,8,19,40
охотничьи колбаски,470,14,46,0
Сендвич с сыром,160,8,10,10
Булгур с мясом,111,8,3,14
Яблоко свежее без кожуры,48,0.27,0.13,13
Шпинат тушеный,32,3,0.3,4
Слайсы пшеничные Продукт Алтая,382,11,2,80
Финики Королевские Tati,277,2,0.2,75
Ветчина Кампана из грудки индейки Индилайт,72,12,2,2
Ирга,45,0,0,12
Кабачки тушеные в сметане,67,0.82,5,5
Торт Медовый бисквитный,414,4,19,54
Бутерброд с плавленым сыром и огурцом,148,6,4,24
Мороженое-лед светофор Ласунка,94,0.2,0.1,24
Ветчина с индейкой Папа может,76,10,4,0
Индейка гриль,84,19,0.7,0
Курица тушеная в мультиварке,120,17,5,2
Конфета вкус арбуз Живинка,310,0,0.3,80
Сыр Тильзитер 45% LiebenDorf,315,26,23,0
Крабовая палочка Французский краб Ешь на ходу Санта Бремор,104,8,4,9
Овсянка монастырская Русский продукт,360,12,6,62
пицца пепперони додо классика,278,12,12,29
Лаваш по-деревенски бездрожжевой Савит-Плюс Компан,310,11,2,62
Сыр творожный сливочный 30% ИП Емелин В.П.,141,10,9,5
сырники на манке без муки,152,14,2,11
котлеты домашние жареные,230,15,5,17
кофе крепкий Nescafé,435,4,13,75
Чипсы рифленые со вкусом лобстера Lay's,525,6,31,53
Йогурт 2% греческий с черникой Teos Савушкин,91,7,2,11
Соба вареная,120,7,0.1,32
Печенье овсяное Умный выбор Розумний вибір,412,6,14,66
Сыр маздам,350,24,26,0
Йогурт питьевой 2% банан Активил Савушкин,62,2,2,9
Пирожное,140,3,2,28
Молоко сгущеное 8.5% Глубокое,330,7,8,56
баранки сдобные,343,8,8,60
Масло подсолнечное без запаха Золотая семечка,899,0,100,0
Овсяное печенье с шоколадом,420,7,23,48
Мороженое Каштан 15% Разумный выбор,311,3,23,22
Рыбная котлета на пару,72,10,1,5
Икра кабачковая из свежих овощей Верес,68,1,5,6
суп щавельник,52,2,2,7
Сате тушеное,57,1,2,10
икра №1 с копченым лососем Санта Бремор,420,7,41,6
кефир 0.1% обезжиренный Савушкин,29,3,0.1,4
Печенье Трио какао с начинкой со вкусом пломбира Акконд,439,4,17,67
Оливки зеленые без косточек Hutesa,141,0.9,15,0
Грибы на гриле,37,3,1,3
Суп Капустняк,55,3,2,7
Мороженое пломбир шоколадный в вафельном стаканчике 20 копеек Морозпродукт,244,4,14,25
Хлебцы Особые 5 злаков с семенами льна Щедрые,430,15,7,77
пиво светлое 4.6% Tuborg Green Туборг грин,41,0,0,3
Напиток безалкогольный энергетический среднегазированный Classic Energy Drink Hell,46,0,0,11
Рыба навага жареная,88,10,4,4
Сыр легкий 30% Landers,260,27,15,2
протеин ON Gold Standard 100% Whey Optimum Nutrition,413,24,3,10
лосось варёный,181,20,9,0
Гречка на молоке с сахаром,102,4,2,19
Сердельки Vegetus,221,22,12,5
молодой картофель,61,2,0.4,12
куриный суп с галушками,52,5,1,6
Суп овощной на говяжьем бульене,47,2,2,6
Напиток безалкогольный сильногазированный Vanilla Кока-кола Ванила Coca-Cola,48,0,0,11
Сыр костромской 45% Свежий ряд,330,27,25,0
Люля кебаб свинина,273,12,24,3
Батончик шоколадный Минис Milky Way Minis,448,3,16,73
Гейнер,393,10,0.9,85
мороженое на палочке трио клубника ваниль шоколад Юкки,160,4,6,22
Печенье шоколадное весовое.,426,8,14,68
помидоры с майонезом,128,1,11,6
Чиабатта без дрожжей,225,8,0.8,47
окрошка с грудкой,55,5,2,4
Вода минеральная сильногазированная Поляна Квасова Eco Life,0,0,0,0
Куриные крылья гриль,175,21,10,0.2
жвачка white Orbit,146,0,0,61
Куриная отбивная в кляре с помидорами и сыром,134,17,6,2
Сыр плавленый сливочный 55% Ферма,260,10,24,2
Хлебцы хрустящие Злаковый коктейль медовый Dr. Korner,320,9,2,66
Моментальная овсяная каша ассорти Mollis,360,10,6,68
Овощное рагу с фаршем,89,3,5,7
вино белое полусухое,73,0.1,0,1
рис с подливкой,181,6,9,18
капуста краснокачанная,29,1,0.16,6
Лаваш Персидский Киевхлеб,297,8,3,58
Суп рассольник с курицей Вкусвилл,45,3,2,3
Сосиски с куриным филе Міні з курячим філе Мини Бащинский,221,10,17,5
Сыр 50% твердый Российский классический Шостка,363,27,28,0
Куриное филе в сметане,105,16,4,0.9
Сыр плавленый Гауда Gouda в пластинах Sertop,274,18,20,6
крупа овсяная цельн!!!,350,12,6,62
кофе растворимый без сахара с растительным молоком(кокосовым),10,2,0.98,11
овсяная каша с клубникой Геркулес,360,9,4,69
Молоко безлактозное 0.05% comfort Parmalat,32,3,0.05,5
Творог 2% Алтайская буренка,100,18,2,3
Шоколад молочный Lacmi черный и белый карамель Рошен Roshen,506,7,28,56
Торт Сметанник,299,6,8,37
Свекла тушеная,53,2,0.7,10
Пирожное заварное со сливочным кремом,440,3,31,36
овсяноблин на воде,98,7,4,12
печенье зерновое с семечками Лукас,518,12,27,50
Чабатта,250,8,2,49
макароны вареные Барила,112,4,0.5,23
Курица тушеная в соевом соусе,112,9,7,2
Гречка со свининой,151,9,8,11
Каша пшённая с тыквой,101,4,2,18
Суп куриный с гречкой,57,4,1,8
сосиска докторская,292,8,28,2
Суши Калифорния,217,11,5,32
хлеб из зеленой гречки,185,7,4,32
Мацони 3.2%,54,3,3,4
Суп рисовый с мясом,34,0.7,1,5
Творог кисломолочный 5% Своя линия,108,14,5,2
колбаски кабаноси Kabanos Exclusive Tarczynski,536,25,47,5
Баклажаны тушеные с помидорами,157,2,14,6
Костный бульон,26,4,1,0
вода с мятой и лимоном,5,0,0,0
сыр плавленый шоколадный Карат,305,9,18,27
Шоколадный батончик Марс с нугой и карамелью. покрытый молочным шоколадом Mars,454,4,17,70
козинак подсолнечный Азовская КФ,578,15,43,34
Хачапури из слоеного теста,303,10,18,24
Курут,307,54,4,22
крупа ячневая,315,10,1,66
Кукуруза сладкая консервированная Bonduelle,58,3,0.6,10
Изолят протеина со вкусом пломбира isolate protein Viking,351,85,1,0
Напиток кофейный растворимый 3 в 1 с ароматом карамели Петровская слобода,426,2,7,88
Салат «Витаминный». 350 гр.,106,1,9,6
Компот из слив,96,0.5,0,24
Сыр 45% Брынза Sveza Савушкин продукт,187,12,15,0
Гречневые хлопья на воде,44,2,0.43,8
Сыр плавленый сливочный ломтевой Президент President,227,12,17,6
Ряженка 4% Яготинська,62,3,4,4
Протеиновый батончик с арахисом и соленой карамелью глазированный Protein Bar Coffee Monsters,465,16,19,58
Творожный пудинг 4% Манго Савушкин,106,6,4,12
Биойогурт с малиной 3% йогурт Активиа,88,4,3,11
Рулет филейный Мясная ферма,91,14,3,2
Мороженное страчателла Maxibon Nestlé,310,4,14,42
Полендвица домашняя,265,10,25,0
Печенье злаковое мюсли. клюква-изюм Любятово,449,8,16,67
Хек,91,18,2,0
Сыр Филадельфия Лайт,152,7,11,5
вяленый чернослив,231,2,0.7,58
Творог зернистый в сливках Магнит,97,10,5,3
Бельгийские вафли,263,7,12,30
Горячая кружка куриная с сухариками Maggi Магги,365,6,8,65
Ягодный смузи,67,2,1,14
Сосиска из филе индейки,79,14,1,3
Яичница с сосисками,167,9,13,3
Пирог с капустой и яйцом,177,5,7,23
"Рахат-лукум ассорти ""Азовская КФ""",350,0.2,0,86
Суп гороховый постный,29,1,1,4
Хлопья Nesquik с молоком,360,8,3,72
Крем заварной,219,4,10,28
Чипсы кукурузные палочки Кетчуп Cheetos,480,6,23,62
катлета рыбная,139,13,8,7
жареный белок яйца,41,9,0.09,0.66
сухарики ржаные со вкусом холодца с хреном Кириешки,401,11,10,66
макароны с сосиской,286,10,2,58
Майонез Mr. Ricco на перепелином яйце,610,0.4,67,2
макароны с куриным филе на сковороде,159,12,3,20
Шашлык из крыльев курицы,146,11,9,4
Печенье сахарное Загора до чаю с ароматом топленого молока Своя линия Своя Лінія,456,7,19,65
грудинка свиная жареная,291,30,19,0.7
флэт уайт,52,2,3,4
салат из баклажанов (жареные),95,2,6,9
Кофе с лимоном и медом,25,0.4,0.1,4
семга жареная,194,20,12,0.5
Молоко ультрапастеризованное 1% Своя Линия,40,3,1,5
Попкорн с сыром,506,6,31,50
"Слойка ""Улитка со шпинатом""",248,8,9,34
Пирожное бисквитное с бананово-йогуртовой начинкой Медвежонок Барни,384,6,15,54
сыр полутвердый 45% монастырский Савушкин,324,26,25,0
Соус Тартар,211,1,19,13
Campana Кампана ветчина из индейки Индилайт,84,12,2,4
Деруны картофельные,198,3,13,17
Гречка жаренная с яйцом,151,4,8,16
Хинкали с говядиной,268,9,16,23
Горбуша отварная,152,20,7,0
ветчина шинка в оболочке вареная первого сорта ассорти Мясная лавка,144,15,8,3
Сырок творожный глазированный с наполнителем трюфель Савушкин,357,5,26,26
Паста Антарктик Криль сливочно-чесночный Санта Бремор,411,5,41,7
Суп с тефтелями,53,3,3,3
Сыр фасованный Голландский Моя Цена,316,25,24,0
яишенка,177,12,13,0.68
Кофе латте 3в1 Жокей,437,6,15,70
сосиски детские свинина. говядина Великолукский мкб,246,12,22,0
Мороженое пломбир клубника Здоровый рожок Коровка из Кореновки,255,2,14,28
молоко 6% Фермерское,85,3,6,5
Йогурт 2.5% в стакане персик-маракуйя Чудо,105,3,2,18
Сосиска в лаваше,256,3,20,20
Макароны с овощами,167,4,7,22
печенье день и ночь весовое Konti Конти,480,8,23,59
Хлеб Житный цельнозерновой без муки ВкусВилл,197,9,2,33
пицца карбонара,301,10,20,21
Хлебцы гречневые Гречневый микс Fitstart,311,14,2,60
Ветчина нежный Балерон Брестский мясокомбинат,130,12,7,3
Печенка тушеная свинная,131,12,6,8
Энергетик Ягодный вкус Drive me,28,0,0,7
сок гранатовый без сахара Nar,46,0,0,12
Морковь с чесноком и майонезом,128,2,10,6
Чебупицца курочка по-итальянски Горячая штучка,260,8,14,26
Конфеты Любимая Алёнка Коммунарка,552,6,35,53
шампиньоны в сметане,69,4,5,3
Кефир 2.5% Ферма,53,3,2,5
Батончик глазированный темной глазурью с бананом Protein Smartbar,303,20,9,38
Мороженое с печеньем в кондитерской глазури с арахисом Maximuse Laska,295,5,17,31
Хлопья,360,10,2,72
хлебцы хрустящие рисовые с витаминами Dr. Kőrner,310,6,1,69
Сыр плавленый 38% сливочный Весела Корівка,190,10,13,8
Том Ям с морепродуктами,97,4,3,13
Салат баклажаны с морковью (по-корейски),96,2,7,9
Отбивная свиная,284,19,22,3
Мюсли злаки с вишней,370,4,10,68
пирожок печеный с курицей,264,17,9,30
бульон рыбный,16,2,0.6,0.4
Колбаса Брауншвейгская,492,20,45,0
Капуста тушеная с сосисками,83,3,6,5
макароны с грибами и курицей в сливочном соусе,100,7,3,11
Печенье песочное с соленой карамелью в молочном шоколаде Twix,491,4,24,65
Банановые чипсы,538,2,30,63
Скумбрия горячего копчения,317,22,24,4
Штрудель вишнёвый.,268,5,13,34
пильмени домашние,201,8,7,28
Крем-сыр Laciaty с лососем и укропом Mlekpol,248,7,23,4
Соленые орешки,609,25,51,12
Индейка отварная (филе бедра),141,15,9,0
Напиток брожения Хлебный Квас Тарас,33,0,0,7
тифтели рисовые,160,18,6,16
сыр легкий 25% Сыробогатов,254,34,13,0
Клетчатка пшеничная с зародышем пшеницы Здоровое Питание,211,17,4,25
Шурпа из баранины,73,5,4,3
Шоколад молочный Golden Nut с целым миндалем Millennium,565,10,38,46
Йогурт натуральный состав 60 ккал Epica,60,5,3,4
Курица запечённая в сметане с чесноком,142,17,8,0.6
сыр радомер 45%,339,27,25,0
Шоколадные конфеты Мишки в лесу Победа,511,6,29,56
Грибной суп-пюре,54,2,2,7
Шоколад Nesquik Несквик с молочной начинкой и кальцием Nestle,541,5,31,59
Куриная грудка запеченная в сметанном соусе,164,28,5,2
Подушечки какао с молоком Витьба,440,6,16,74
хлеб черный с изюмом,231,6,0.9,50
Хек жареный в муке,105,14,4,2
Салат морковный,33,0.8,0.1,7
салянка с курицей,96,8,5,4
Масло гхи,900,0.2,99,0
Борщ из свежей капусты с мясом,63,4,4,6
десерт творожный 4% банан с поливкой шоколад Венский завтрак,160,7,4,23
Булочка с шоколадной начинкой,350,6,13,51
натуральный молотый кофе,398,15,15,29
Салат оливье классический Лента,164,3,14,6
Хлопья овсяные геркулес N1 Лидкон,300,11,6,50
"Крылья ""КФС"" KFC",428,24,28,19
хлебцы ржаные улучшенные Алтайские Квантсервер,328,10,5,69
Стейк из свинины на гриле,232,28,17,0.1
Сосиски классические Ядрена копоть,161,11,13,0
Творог классический 5.5% Савушкин,121,16,6,2
Свинина тушеная в томате,135,14,6,2
КАПУСТА ТУШЕНАЯ БЕЗ МАСЛА С МОРКОВЬЮ,26,1,0.2,5
Кальмары жареные,129,13,7,2
запеканка картофельная с курицей,110,10,3,10
Кимчи,50,3,2,6
Каша овсяная с клубникой доброе утро Увелка,340,10,4,62
хлеб аютинский тостовый,344,10,9,55
Хлебцы Корнерсы Томат и Базилик  Dr.Korner,361,6,10,61
бездрожжевой хлеб Крестьянский из смеси пшеничной и ржаной муки Рижский хлеб,220,6,1,46
Оладьи из кабачков с сыром,82,5,4,9
окунь морской вареный,102,18,3,0.2
Гуляш из свинины (нежирной),87,5,5,6
Лепешка со вкусом сыра Mission,290,7,7,48
салат помидоры с маслом,39,0.6,3,3
Творог детский классический Первая ложка 4.5% Агуша,89,8,4,4
Гречневая крупа гречка Макфа Makfa,308,13,3,57
Мороженое эскимо сливочное Моя Аленка Юкки,287,4,20,23
Яичница с колбасой и сыром,211,11,15,2
ежики с рисом,207,11,12,14
творог рассыпчатый 2% Хуторок Савушкин,93,18,2,1
Батончик Snickers super+1,483,9,23,61
Молоко безлактозное ультрапастеризованное 2.5% Яготинское для детей,54,3,2,5
Соус кисло-сладкий,167,0.3,0.8,40
Сырок творожный глазированный Картошка в молочнои шоколаде Б.Ю. Александров Ростагрокомплекс,413,8,24,42
Печенье творожное с сахаром,315,9,11,45
харибо желейные конфеты с фруктовым вкусом ассорти Haribo,347,7,0.5,77
Сыр белебеевский Белебеевский,344,27,26,0
сыр творожный с зеленью LiebernDorf,260,7,24,3
Йогурт без сахара 1.5% с бифидобактериями Yoguru,50,4,2,5
Хлеб чусовской Смак,210,8,2,47
Окунь морской в фольге,72,13,1,2
баварский хотдог,378,11,10,75
джем черничный Махеевъ,272,0,0,68
паста из морепродуктов сливочная Creme Le Mare Балтийский берег,425,5,44,4
Сырники на манке,143,16,5,12
Зефир ванильный Первый Бобруйский,320,1,0,80
Яйца перепелиные Премия,155,13,11,0
конфета Вечер Рахат,411,3,3,73
стейк свиной жареный,273,28,18,0
чечевичный суп из красной,108,8,0.3,19
пастила без сахара с брусникой Белевская пастила,276,4,0.1,65
творог 0.5% Вкуснотеево,90,18,0.5,4
Молоко 2.5% Агрокомплекс,53,3,2,5
Баклажаны с мясным фаршем,101,9,6,3
Воздушный творожок ягодное мороженое Чудо,131,6,6,13
перец болгарский печеный,37,2,0.3,7
Консервы горбуша натуральная Фиш Хаус Fish House,138,21,6,0
оладушки на молоке,233,7,5,40
Молоко питьевое низколактозное Ультрапастеризованное 3.5% Parmalat,62,3,4,5
Сардина атлантическая натуральная с добавлением масла Своя Линия,220,19,16,0
Батончик протеиновый Tri Protein Bar со вкусом банан Ironman,360,10,10,50
Эклеры с белковым кремом.,269,5,20,16
Овсяные печеньки,200,7,2,44
Масло сливочное 61.5% Савушкин продукт,566,1,62,2
булочка слоеная с яблоком,280,4,8,47
мороженое фруктовый лед со вкусом колы Фабрика Грёз,110,0,0,27
Конфеты со вкусом клубники и сливок Кремка KDV,402,0.4,3,93
Песочная корзинка,250,2,12,37
Лапша Вок с курицей,177,9,7,20
Семена льна с кефиром,83,4,5,6
хлеб деревенский особый подовый,200,7,1,41
Куриная сарделька,120,14,7,1
омега 3 реал капс,1 000,0,100,0
Гранола шоколад и миндаль Doctor Benner,414,9,14,63
Торт Птичье молоко,288,6,27,67
Фруктовый смузи,62,6,2,5
кобачок жареный,88,1,7,6
Морковь жареная,50,2,3,6
Салат свекла с майонезом,160,5,11,11
Сухарь из нарезного батона,398,11,4,78
Торт Муравейник,430,6,27,42
Мука рисовая С. Пудовъ,351,7,1,79
кампот из красной смородины,65,0.36,0.9,11
сыр творожный воздушный с зеленью Савушкин,205,6,19,3
Хлеб простой домашний,190,6,2,37
Мороженное пломбир ваниль в вафельном стаканчике Наше детство,220,4,12,24
Тортилья пшеничная Mutlukal,289,8,6,55
